Period,Shop,Category,Drink,Quantity,Net Revenue,Gross Sales,Discounts,Transactions,Avg Price
Current 3M,Portlaoise,Coffee & more,Double Espresso,2.0,7.0,7.0,0.0,2,3.5
Current 3M,Portlaoise,Coffee & more,Espresso,9.0,22.5,22.5,0.0,9,2.5
Current 3M,Portlaoise,Coffee & more,Flat white,18.0,68.1,68.1,0.0,18,3.78
Current 3M,Portlaoise,Coffee & more,Hot Choc,7.0,18.7,18.7,-14.65,7,2.67
Current 3M,Portlaoise,Coffee & more,Iced Americano,7.0,25.91,31.9,0.0,7,3.7
Current 3M,Portlaoise,Coffee & more,Iced Latte,57.0,213.6,213.6,-58.01,56,3.75
Current 3M,Portlaoise,Coffee & more,Iced caramel latte,272.0,1385.13,1385.13,-115.52,235,5.09
Current 3M,Portlaoise,Coffee & more,Latte,73.0,301.28,301.28,-8.82,67,4.13
Current 3M,Portlaoise,Coffee & more,"Oat, Coconut Milk",1.0,0.49,0.6,0.0,1,0.49
Current 3M,Portlaoise,Coffee & more,Pistachio latte,12.0,60.95,60.95,-5.9,12,5.08
Current 3M,Portlaoise,Coffee & more,Tea,52.0,130.6,130.6,0.0,46,2.51
Current 3M,Portlaoise,Coffee & more,Toasted brown sugar,94.0,526.77,526.77,-2.04,92,5.6
Current 3M,Portlaoise,Coffee & more,White chocolate mocha,109.0,584.75,584.75,-12.23,102,5.36
Current 3M,Portlaoise,Fruit tea,Apple Soda,20.0,85.83,105.62,-1.19,18,4.29
Current 3M,Portlaoise,Fruit tea,Apple lemonade tea,66.0,272.4,335.21,-10.41,62,4.13
Current 3M,Portlaoise,Fruit tea,Mango Passion Lemonade,444.0,1893.75,2329.49,-18.24,394,4.27
Current 3M,Portlaoise,Fruit tea,Strawberry Lemonade,365.0,1346.86,1656.86,-239.56,339,3.69
Current 3M,Portlaoise,Fruit tea,Strawberry Nojito,27.0,114.97,141.43,-6.08,23,4.26
Current 3M,Portlaoise,Fruit tea,Strawberry Passion lemonade,74.0,325.36,400.17,-7.75,72,4.4
Current 3M,Portlaoise,Fruit tea,Watermelon Lemonade,198.0,836.44,1028.89,-9.4,185,4.22
Current 3M,Portlaoise,Milk tea,Bueno Bliss Boba,196.0,1044.99,1044.99,-33.34,179,5.33
Current 3M,Portlaoise,Milk tea,Earl Grey,24.0,132.85,132.85,0.0,23,5.54
Current 3M,Portlaoise,Milk tea,Matcha Latte,11.0,41.84,41.84,-16.4,11,3.8
Current 3M,Portlaoise,Milk tea,Original milk tea,178.0,994.53,994.53,-5.99,150,5.59
Current 3M,Portlaoise,Milk tea,Pistachio Crunch Matcha,30.0,165.26,165.26,0.0,26,5.51
Current 3M,Portlaoise,Milk tea,Strawberry Sunset,142.0,786.91,786.91,-8.97,135,5.54
Current 3M,Portlaoise,Milk tea,Strawberry milk tea,8.0,36.04,36.04,-4.89,8,4.5
Current 3M,Portlaoise,Milk tea,Taro milk tea,92.0,498.35,498.35,-2.16,88,5.42
Current 3M,Portlaoise,Milk tea,Tiger Milk,111.0,612.08,612.08,-10.77,106,5.51
Current 3M,Portlaoise,Milk tea,Vanilla Matcha,223.0,1258.85,1258.85,-4.04,211,5.65
Current 3M,Portlaoise,Namo Plus,Starboy,350.0,1463.0,1800.26,-19.46,311,4.18
Current 3M,Portlaoise,Namo Plus Extras,Large,1.0,0.9,0.9,0.0,1,0.9
Current 3M,Portlaoise,Smoothies,Mango Passionfruit smoothie,149.0,851.02,851.02,-13.71,140,5.71
Current 3M,Portlaoise,Smoothies,Strawberry Dream,116.0,668.57,668.57,-2.19,114,5.76
Current 3M,Portlaoise,Specials,Loaded Chipotle Wedges,71.0,700.26,793.52,-147.53,66,9.86
